Batch ,Sample_ID
001,NH13-1256
001,NH13-1730
001,NH13-581
001,NH14-1206
001,NH14-1589
001,NH14-2217
001,NH14-2331
001,NH14-911
001,NH15-40
001,NH15-5
002,NH07-1129
002,NH11-1207
002,NH13-1014
002,NH13-1444
002,NH13-1974
002,NH14-1226
002,NH14-1514
002,NH14-1533
002,NH14-4
002,NH96-415
003,NH14-1
003,NH14-1319
003,NH14-1367
003,NH14-205
003,NH14-2103
003,NH14-261
003,NH14-306
003,NH14-326
003,NH14-411
003,NH14-495
003,NH14-660
003,NH14-855
005,NH08-210
013,NH16-440
015,NH16-580
015,NH16-623
015,NH16-862
018,NH16-1084
018,NH16-1309
018,NH16-155
019,NH11-1296
019,NH16-2632
020,NH16-2435
020,NH16-2561
020,NH16-2660
020,NH16-2771
020,NH16-2798
020,NH16-2872
020,NH16-2875
020,NH16-2995
020,NH17-3
021,NH16-1240
021,NH16-1976
021,NH16-2214
021,NH16-2251
021,NH16-2255
021,NH16-2342
021,NH16-2806
022,NH16-2577
022,NH17-131
022,NH17-156
022,NH17-157
022,NH17-168
022,NH17-171
022,NH17-211
023,NH16-378
023,NH17-386
023,NH17-414
023,NH17-419
023,NH17-683
024,NH11-44
024,NH14-108
024,NH17-1017
024,NH17-1036
024,NH17-1049
024,NH17-1079
024,NH17-1123
024,NH17-734
024,NH17-982
025,NH17-1131
025,NH17-1256
025,NH17-1389
025,NH17-1417
025,NH17-1428
025,NH17-555
025,NH17-626
025,NH17-839
026,NH17-1158
026,NH17-1654
026,NH17-1746
027,NH16-1084
027,NH16-872
027,NH17-1049
027,NH17-1293
027,NH17-1482
027,NH17-1535
027,NH17-1619
029,NH17-1923
030,NH17-2163
030,NH17-2466
035,NH17-676
037,NH17-1972
037,NH17-2453
037,NH17-2506
037,NH17-2598
037,NH17-2689
038,NH17-2862
038,NH17-2912
041,NH17-2845
041,NH17-2904
041,NH17-2915
041,NH17-2955
041,NH17-3065
046,NH17-2698
046,NH17-2956
046,NH17-2982
046,NH17-3068
046,NH18-101
046,NH18-151
046,NH18-99
047,NH18-198
047,NH18-199
047,NH18-205
047,NH18-258
047,NH18-289
047,NH18-51
048,NH18-145
048,NH18-514
048,NH18-595
048,NH18-663
049,NH18-582
049,NH18-646
049,NH18-716
049,NH18-741
049,NH18-804
049,NH18-807
050,NH14-2173
050,NH18-692
050,NH18-738
050,NH18-762
050,NH18-800
051,NH18-823
051,NH18-825
051,NH18-828
051,NH18-921
051,NH18-930
051,NH18-941
052,NH17-2085
052,NH18-1022
052,NH18-951
052,NH18-976
052,NH18-995
053,NH18-1086
053,NH18-1108
053,NH18-973
054,NH18-1082
054,NH18-1196
054,NH18-1233
055,NH18-1250
055,NH18-1269
055,NH18-1271
056,NH18-1296
056,NH18-1423
056,NH18-1453
056,NH18-1475
056,NH18-1486
057,NH18-1224
057,NH18-1330
057,NH18-1361
057,NH18-1513
057,NH18-1609
058,NH18-1659
058,NH18-1679
058,NH18-1680
059,NH18-1660
059,NH18-1760
059,NH18-1829
060,NH18-1780
060,NH18-1875
060,NH18-1878
060,NH18-1925
060,NH18-1963
061,NH18-1912
061,NH18-1981
061,NH18-1982
061,NH18-2002
061,NH18-2060
062,NH18-2050
062,NH18-2063
063,NH18-1828
063,NH18-2160
063,NH18-2236
064,NH18-2070
064,NH18-2237
064,NH18-2253
065,NH18-2284
065,NH18-2298
065,NH18-2314
065,NH18-2316
065,NH18-2346
067,NH18-2420
067,NH18-2423
067,NH18-2552
068,NH18-2624
068,NH18-2660
070,NH18-2665
070,NH18-2669
070,NH18-2678
070,NH18-2738
070,NH18-2748
070,NH18-2749
071,NH18-2750
071,NH18-2829
072,NH18-2768
072,NH18-2869
072,NH18-2910
072,NH18-2929
073,NH18-2850
073,NH18-2918
073,NH19-2
073,NH19-29
073,NH19-36
074,NH19-91
075,NH19-144
075,NH19-146
075,NH19-189
075,NH19-192
075,NH19-195
075,NH19-197
076,NH19-207
076,NH19-210
077,NH19-239
078,NH18-2810
078,NH19-395
078,NH19-410
078,NH19-471
079,NH19-117
079,NH19-450
079,NH19-505
079,NH19-509
079,NH19-525
080,NH19-396
080,NH19-476
080,NH19-489
080,NH19-553
080,NH19-596
081,NH15-1432
081,NH19-624
081,NH19-648
082,NH19-673
082,NH19-687
083,NH19-664
083,NH19-682
